t,K,Z
0.449,1.24662,0.527596
0.45,1.24721,0.527726
0.451,1.2478,0.527856
0.452,1.24839,0.527987
0.453,1.24898,0.528118
0.454,1.24957,0.52825
0.455,1.25016,0.528382
0.456,1.25075,0.528514
0.457,1.25134,0.528646
0.458,1.25193,0.528779
0.459,1.25252,0.528912
0.46,1.25311,0.529046
0.461,1.2537,0.52918
0.462,1.25429,0.529314
0.463,1.25488,0.529449
0.464,1.25547,0.529584
0.465,1.25606,0.529719
0.466,1.25665,0.529855
0.467,1.25724,0.529991
0.468,1.25783,0.530127
0.469,1.25842,0.530264
0.47,1.25902,0.530401
0.471,1.25961,0.530538
0.472,1.2602,0.530676
0.473,1.26079,0.530814
0.474,1.26138,0.530952
0.475,1.26197,0.531091
0.476,1.26256,0.53123
0.477,1.26316,0.53137
0.478,1.26375,0.53151
0.479,1.26434,0.53165
0.48,1.26493,0.53179
0.481,1.26552,0.531931
0.482,1.26612,0.532072
0.483,1.26671,0.532214
0.484,1.2673,0.532356
0.485,1.26789,0.532498
0.486,1.26849,0.532641
0.487,1.26908,0.532784
0.488,1.26967,0.532927
0.489,1.27027,0.533071
0.49,1.27086,0.533215
0.491,1.27145,0.533359
0.492,1.27205,0.533504
0.493,1.27264,0.533649
0.494,1.27323,0.533795
0.495,1.27383,0.533941
0.496,1.27442,0.534087
0.497,1.27501,0.534234
0.498,1.27561,0.53438
0.499,1.2762,0.534528
0.5,1.2768,0.534675
0.501,1.27739,0.534823
0.502,1.27798,0.534972
0.503,1.27858,0.53512
0.504,1.27917,0.535269
0.505,1.27977,0.535419
0.506,1.28036,0.535569
0.507,1.28096,0.535719
0.508,1.28155,0.535869
0.509,1.28215,0.53602
0.51,1.28274,0.536171
0.511,1.28334,0.536323
0.512,1.28393,0.536475
0.513,1.28453,0.536627
0.514,1.28512,0.53678
0.515,1.28572,0.536933
0.516,1.28631,0.537087
0.517,1.28691,0.53724
0.518,1.2875,0.537394
0.519,1.2881,0.537549
0.52,1.28869,0.537704
0.521,1.28929,0.537859
0.522,1.28989,0.538015
0.523,1.29048,0.538171
0.524,1.29108,0.538327
0.525,1.29167,0.538484
0.526,1.29227,0.538641
0.527,1.29287,0.538798
0.528,1.29346,0.538956
0.529,1.29406,0.539114
0.53,1.29466,0.539273
0.531,1.29525,0.539431
0.532,1.29585,0.539591
0.533,1.29644,0.53975
0.534,1.29704,0.53991
0.535,1.29764,0.540071
0.536,1.29823,0.540232
0.537,1.29883,0.540393
0.538,1.29943,0.540554
0.539,1.30003,0.540716
0.54,1.30062,0.540878
0.541,1.30122,0.541041
0.542,1.30182,0.541204
0.543,1.30241,0.541367
0.544,1.30301,0.541531
0.545,1.30361,0.541695
0.546,1.30421,0.541859
0.547,1.3048,0.542024
0.548,1.3054,0.542189
0.549,1.306,0.542355
0.55,1.3066,0.542521
0.551,1.30719,0.542687
0.552,1.30779,0.542854
0.553,1.30839,0.543021
0.554,1.30899,0.543189
0.555,1.30959,0.543356
0.556,1.31018,0.543525
0.557,1.31078,0.543693
0.558,1.31138,0.543862
0.559,1.31198,0.544032
0.56,1.31258,0.544201
0.561,1.31318,0.544371
0.562,1.31377,0.544542
0.563,1.31437,0.544713
0.564,1.31497,0.544884
0.565,1.31557,0.545056
0.566,1.31617,0.545228
0.567,1.31677,0.5454
0.568,1.31736,0.545573
0.569,1.31796,0.545746
0.57,1.31856,0.545919
0.571,1.31916,0.546093
0.572,1.31976,0.546268
0.573,1.32036,0.546442
0.574,1.32096,0.546617
0.575,1.32156,0.546793
0.576,1.32215,0.546969
0.577,1.32275,0.547145
0.578,1.32335,0.547321
0.579,1.32395,0.547498
0.58,1.32455,0.547676
0.581,1.32515,0.547854
0.582,1.32575,0.548032
0.583,1.32635,0.54821
0.584,1.32695,0.548389
0.585,1.32755,0.548568
0.586,1.32815,0.548748
0.587,1.32875,0.548928
0.588,1.32934,0.549109
0.589,1.32994,0.549289
0.59,1.33054,0.549471
0.591,1.33114,0.549652
0.592,1.33174,0.549834
0.593,1.33234,0.550017
0.594,1.33294,0.550199
0.595,1.33354,0.550383
0.596,1.33414,0.550566
0.597,1.33474,0.55075
0.598,1.33534,0.550935
0.599,1.33594,0.551119
0.6,1.33654,0.551304
0.601,1.33714,0.55149
0.602,1.33774,0.551676
0.603,1.33834,0.551862
0.604,1.33894,0.552049
0.605,1.33954,0.552236
0.606,1.34014,0.552424
0.607,1.34074,0.552611
0.608,1.34134,0.5528
0.609,1.34194,0.552988
0.61,1.34254,0.553178
0.611,1.34314,0.553367
0.612,1.34374,0.553557
0.613,1.34434,0.553747
0.614,1.34494,0.553938
0.615,1.34554,0.554129
0.616,1.34614,0.55432
0.617,1.34674,0.554512
0.618,1.34734,0.554705
0.619,1.34794,0.554897
0.62,1.34854,0.55509
0.621,1.34914,0.555284
0.622,1.34974,0.555478
0.623,1.35034,0.555672
0.624,1.35094,0.555867
0.625,1.35154,0.556062
0.626,1.35214,0.556257
0.627,1.35274,0.556453
0.628,1.35334,0.556649
0.629,1.35394,0.556846
0.63,1.35454,0.557043
0.631,1.35514,0.557241
0.632,1.35574,0.557438
0.633,1.35634,0.557637
0.634,1.35694,0.557835
0.635,1.35754,0.558035
0.636,1.35814,0.558234
0.637,1.35874,0.558434
0.638,1.35934,0.558634
0.639,1.35994,0.558835
0.64,1.36054,0.559036
0.641,1.36114,0.559238
0.642,1.36174,0.55944
0.643,1.36234,0.559642
0.644,1.36294,0.559845
0.645,1.36354,0.560048
0.646,1.36414,0.560252
0.647,1.36474,0.560456
0.648,1.36534,0.56066
0.649,1.36594,0.560865
0.65,1.36654,0.56107
0.651,1.36714,0.561276
0.652,1.36773,0.561482
0.653,1.36833,0.561688
0.654,1.36893,0.561895
0.655,1.36953,0.562103
0.656,1.37013,0.56231
0.657,1.37073,0.562518
0.658,1.37133,0.562727
0.659,1.37193,0.562936
0.66,1.37253,0.563145
0.661,1.37313,0.563355
0.662,1.37373,0.563565
0.663,1.37433,0.563776
0.664,1.37493,0.563987
0.665,1.37553,0.564198
0.666,1.37613,0.56441
0.667,1.37673,0.564623
0.668,1.37733,0.564835
0.669,1.37793,0.565048
0.67,1.37853,0.565262
0.671,1.37913,0.565476
0.672,1.37973,0.56569
0.673,1.38032,0.565905
0.674,1.38092,0.56612
0.675,1.38152,0.566336
0.676,1.38212,0.566552
