t,K,Z
4.26,2.19462,1.11526
4.27,2.19195,1.11469
4.28,2.18929,1.11411
4.29,2.18665,1.11353
4.3,2.18402,1.11295
4.31,2.18141,1.11235
4.32,2.17882,1.11176
4.33,2.17624,1.11116
4.34,2.17368,1.11055
4.35,2.17114,1.10995
4.36,2.16861,1.10933
4.37,2.1661,1.10872
4.38,2.16361,1.1081
4.39,2.16113,1.10747
4.4,2.15867,1.10685
4.41,2.15623,1.10622
4.42,2.1538,1.10558
4.43,2.15139,1.10494
4.44,2.149,1.1043
4.45,2.14662,1.10366
4.46,2.14426,1.10301
4.47,2.14192,1.10237
4.48,2.13959,1.10171
4.49,2.13729,1.10106
4.5,2.13499,1.1004
4.51,2.13272,1.09974
4.52,2.13046,1.09908
4.53,2.12822,1.09842
4.54,2.12599,1.09775
4.55,2.12378,1.09708
4.56,2.12159,1.09641
4.57,2.11942,1.09574
4.58,2.11726,1.09507
4.59,2.11512,1.09439
4.6,2.11299,1.09371
4.61,2.11088,1.09303
4.62,2.10879,1.09235
4.63,2.10672,1.09167
4.64,2.10466,1.09099
4.65,2.10262,1.0903
4.66,2.1006,1.08962
4.67,2.09859,1.08893
4.68,2.0966,1.08824
4.69,2.09462,1.08756
4.7,2.09267,1.08687
4.71,2.09073,1.08618
4.72,2.0888,1.08549
4.73,2.08689,1.08479
4.74,2.085,1.0841
4.75,2.08313,1.08341
4.76,2.08127,1.08272
4.77,2.07942,1.08202
4.78,2.0776,1.08133
4.79,2.07579,1.08064
4.8,2.07399,1.07994
4.81,2.07222,1.07925
4.82,2.07046,1.07856
4.83,2.06871,1.07786
4.84,2.06698,1.07717
4.85,2.06527,1.07648
4.86,2.06357,1.07578
4.87,2.06189,1.07509
4.88,2.06022,1.0744
4.89,2.05857,1.0737
4.9,2.05694,1.07301
4.91,2.05532,1.07232
4.92,2.05372,1.07163
4.93,2.05213,1.07094
4.94,2.05056,1.07025
4.95,2.04901,1.06956
4.96,2.04747,1.06887
4.97,2.04594,1.06819
4.98,2.04444,1.0675
4.99,2.04294,1.06682
5,2.04146,1.06613
5.01,2.04,1.06545
5.02,2.03855,1.06477
5.03,2.03712,1.06409
5.04,2.0357,1.06341
5.05,2.0343,1.06273
5.06,2.03291,1.06205
5.07,2.03154,1.06137
5.08,2.03018,1.0607
5.09,2.02884,1.06003
5.1,2.02751,1.05935
5.11,2.0262,1.05868
5.12,2.0249,1.05802
5.13,2.02362,1.05735
5.14,2.02235,1.05668
5.15,2.02109,1.05602
5.16,2.01985,1.05536
5.17,2.01863,1.0547
5.18,2.01741,1.05404
5.19,2.01621,1.05338
5.2,2.01503,1.05272
5.21,2.01386,1.05207
5.22,2.01271,1.05142
5.23,2.01156,1.05077
5.24,2.01044,1.05012
5.25,2.00932,1.04948
5.26,2.00822,1.04883
5.27,2.00714,1.04819
5.28,2.00606,1.04755
5.29,2.005,1.04692
5.3,2.00396,1.04628
5.31,2.00292,1.04565
5.32,2.00191,1.04502
5.33,2.0009,1.04439
5.34,1.99991,1.04376
5.35,1.99893,1.04314
5.36,1.99796,1.04252
5.37,1.99701,1.0419
5.38,1.99607,1.04128
5.39,1.99514,1.04067
5.4,1.99423,1.04006
5.41,1.99332,1.03945
5.42,1.99244,1.03884
5.43,1.99156,1.03824
5.44,1.9907,1.03763
5.45,1.98984,1.03703
5.46,1.98901,1.03644
5.47,1.98818,1.03584
5.48,1.98736,1.03525
5.49,1.98656,1.03466
5.5,1.98577,1.03408
5.51,1.98499,1.03349
5.52,1.98423,1.03291
5.53,1.98348,1.03234
5.54,1.98273,1.03176
5.55,1.982,1.03119
5.56,1.98128,1.03062
5.57,1.98058,1.03005
5.58,1.97988,1.02949
5.59,1.9792,1.02893
5.6,1.97853,1.02837
5.61,1.97787,1.02781
5.62,1.97722,1.02726
5.63,1.97658,1.02671
5.64,1.97595,1.02616
5.65,1.97534,1.02562
5.66,1.97473,1.02508
5.67,1.97414,1.02454
5.68,1.97355,1.02401
5.69,1.97298,1.02347
5.7,1.97242,1.02295
5.71,1.97187,1.02242
5.72,1.97133,1.0219
5.73,1.9708,1.02138
5.74,1.97028,1.02086
5.75,1.96977,1.02035
5.76,1.96928,1.01984
5.77,1.96879,1.01933
5.78,1.96831,1.01883
5.79,1.96784,1.01832
5.8,1.96739,1.01783
5.81,1.96694,1.01733
5.82,1.9665,1.01684
5.83,1.96607,1.01635
5.84,1.96565,1.01587
5.85,1.96525,1.01538
5.86,1.96485,1.0149
5.87,1.96446,1.01443
5.88,1.96408,1.01396
5.89,1.96371,1.01349
5.9,1.96335,1.01302
5.91,1.963,1.01256
5.92,1.96265,1.0121
5.93,1.96232,1.01164
5.94,1.962,1.01119
5.95,1.96168,1.01074
5.96,1.96138,1.01029
5.97,1.96108,1.00985
5.98,1.96079,1.00941
5.99,1.96051,1.00897
6,1.96024,1.00853
6.01,1.95998,1.0081
6.02,1.95973,1.00768
6.03,1.95948,1.00725
6.04,1.95924,1.00683
6.05,1.95902,1.00641
6.06,1.9588,1.006
6.07,1.95858,1.00559
6.08,1.95838,1.00518
6.09,1.95818,1.00478
6.1,1.958,1.00437
6.11,1.95782,1.00398
6.12,1.95764,1.00358
6.13,1.95748,1.00319
6.14,1.95732,1.0028
6.15,1.95717,1.00242
6.16,1.95703,1.00204
6.17,1.9569,1.00166
6.18,1.95677,1.00128
6.19,1.95665,1.00091
6.2,1.95654,1.00054
6.21,1.95644,1.00018
6.22,1.95634,0.999815
6.23,1.95625,0.999456
6.24,1.95617,0.999101
