x,y_actual,y_interpolated
2.2,0.00790705,0.00628667
2.3,0.00504176,0.00417325
2.4,0.00315111,0.0036221
2.5,0.00193045,0.00399148
2.6,0.00115923,0.00451005
2.7,0.000682328,0.00438133
2.8,0.000393669,0.00297056
2.9,0.00022263,4.05412e-05
3,0.00012341,-0.00402734
3.1,6.70548e-05,-0.00811534
3.2,3.57128e-05,-0.0104556
3.3,1.86437e-05,-0.00900839
3.4,9.54016e-06,-0.00217295
3.5,4.78512e-06,0.010219
3.6,2.35258e-06,0.0258165
3.7,1.13373e-06,0.0389378
3.8,5.35535e-07,0.040599
3.9,2.4796e-07,0.0201123
4,1.12535e-07,-0.0309797
4.1,5.00622e-08,-0.112095
4.2,2.18296e-08,-0.204115
4.3,9.33029e-09,-0.258925
4.4,3.90894e-09,-0.192536
4.5,1.60523e-09,0.10891
4.6,6.46143e-10,0.753465
4.7,2.54938e-10,1.74974
4.8,9.85951e-11,2.81014
4.9,3.73757e-11,2.9816
5,1.38879e-11,1.40435e-11
NEXT N
