q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.960000 , x = [-7.692308   , 3.436058   , -1.174760   , -3.643750   , 5.379087   ]  , c = [-7.692308   , 3.436058   , -1.174760   , -3.643750   , 5.379087   ]
q = 0.970000 , x = [-7.766990   , 3.456129   , -1.180127   , -3.686226   , 5.433465   ]  , c = [-7.766990   , 3.456129   , -1.180127   , -3.686226   , 5.433465   ]
q = 0.980000 , x = [-7.843137   , 3.476593   , -1.185600   , -3.729534   , 5.488909   ]  , c = [-7.843137   , 3.476593   , -1.185600   , -3.729534   , 5.488909   ]
q = 0.990000 , x = [-7.920792   , 3.497463   , -1.191182   , -3.773700   , 5.545452   ]  , c = [-7.920792   , 3.497463   , -1.191182   , -3.773700   , 5.545452   ]
q = 1.000000 , x = [-8.000000   , 3.518750   , -1.196875   , -3.818750   , 5.603125   ]  , c = [-8.000000   , 3.518750   , -1.196875   , -3.818750   , 5.603125   ]
q = 1.010000 , x = [-8.080808   , 3.540467   , -1.202683   , -3.864710   , 5.661963   ]  , c = [-8.080808   , 3.540467   , -1.202683   , -3.864710   , 5.661963   ]
q = 1.020000 , x = [-8.163265   , 3.562628   , -1.208610   , -3.911607   , 5.722003   ]  , c = [-8.163265   , 3.562628   , -1.208610   , -3.911607   , 5.722003   ]
q = 1.030000 , x = [-8.247423   , 3.585245   , -1.214659   , -3.959472   , 5.783280   ]  , c = [-8.247423   , 3.585245   , -1.214659   , -3.959472   , 5.783280   ]
q = 1.040000 , x = [-8.333333   , 3.608333   , -1.220833   , -4.008333   , 5.845833   ]  , c = [-8.333333   , 3.608333   , -1.220833   , -4.008333   , 5.845833   ]
q = 1.050000 , x = [-8.421053   , 3.631908   , -1.227138   , -4.058224   , 5.909704   ]  , c = [-8.421053   , 3.631908   , -1.227138   , -4.058224   , 5.909704   ]
q = 1.060000 , x = [-8.510638   , 3.655984   , -1.233577   , -4.109176   , 5.974934   ]  , c = [-8.510638   , 3.655984   , -1.233577   , -4.109176   , 5.974934   ]
q = 1.070000 , x = [-8.602151   , 3.680578   , -1.240155   , -4.161223   , 6.041566   ]  , c = [-8.602151   , 3.680578   , -1.240155   , -4.161223   , 6.041566   ]
q = 1.080000 , x = [-8.695652   , 3.705707   , -1.246875   , -4.214402   , 6.109647   ]  , c = [-8.695652   , 3.705707   , -1.246875   , -4.214402   , 6.109647   ]
q = 1.090000 , x = [-8.791209   , 3.731387   , -1.253743   , -4.268750   , 6.179224   ]  , c = [-8.791209   , 3.731387   , -1.253743   , -4.268750   , 6.179224   ]
q = 1.100000 , x = [-8.888889   , 3.757639   , -1.260764   , -4.324306   , 6.250347   ]  , c = [-8.888889   , 3.757639   , -1.260764   , -4.324306   , 6.250347   ]
q = 1.110000 , x = [-8.988764   , 3.784480   , -1.267942   , -4.381110   , 6.323069   ]  , c = [-8.988764   , 3.784480   , -1.267942   , -4.381110   , 6.323069   ]
q = 1.120000 , x = [-9.090909   , 3.811932   , -1.275284   , -4.439205   , 6.397443   ]  , c = [-9.090909   , 3.811932   , -1.275284   , -4.439205   , 6.397443   ]
q = 1.130000 , x = [-9.195402   , 3.840014   , -1.282795   , -4.498635   , 6.473527   ]  , c = [-9.195402   , 3.840014   , -1.282795   , -4.498635   , 6.473527   ]
q = 1.140000 , x = [-9.302326   , 3.868750   , -1.290480   , -4.559448   , 6.551381   ]  , c = [-9.302326   , 3.868750   , -1.290480   , -4.559448   , 6.551381   ]
q = 1.150000 , x = [-9.411765   , 3.898162   , -1.298346   , -4.621691   , 6.631066   ]  , c = [-9.411765   , 3.898162   , -1.298346   , -4.621691   , 6.631066   ]
q = 1.160000 , x = [-9.523810   , 3.928274   , -1.306399   , -4.685417   , 6.712649   ]  , c = [-9.523810   , 3.928274   , -1.306399   , -4.685417   , 6.712649   ]
q = 1.170000 , x = [-9.638554   , 3.959111   , -1.314646   , -4.750678   , 6.796197   ]  , c = [-9.638554   , 3.959111   , -1.314646   , -4.750678   , 6.796197   ]
q = 1.180000 , x = [-9.756098   , 3.990701   , -1.323095   , -4.817530   , 6.881784   ]  , c = [-9.756098   , 3.990701   , -1.323095   , -4.817530   , 6.881784   ]
q = 1.190000 , x = [-9.876543   , 4.023071   , -1.331752   , -4.886034   , 6.969483   ]  , c = [-9.876543   , 4.023071   , -1.331752   , -4.886034   , 6.969483   ]
q = 1.200000 , x = [-10.000000   , 4.056250   , -1.340625   , -4.956250   , 7.059375   ]  , c = [-10.000000   , 4.056250   , -1.340625   , -4.956250   , 7.059375   ]
q = 1.210000 , x = [-10.126582   , 4.090269   , -1.349723   , -5.028244   , 7.151543   ]  , c = [-10.126582   , 4.090269   , -1.349723   , -5.028244   , 7.151543   ]
q = 1.220000 , x = [-10.256410   , 4.125160   , -1.359054   , -5.102083   , 7.246074   ]  , c = [-10.256410   , 4.125160   , -1.359054   , -5.102083   , 7.246074   ]
q = 1.230000 , x = [-10.389610   , 4.160958   , -1.368628   , -5.177841   , 7.343060   ]  , c = [-10.389610   , 4.160958   , -1.368628   , -5.177841   , 7.343060   ]
q = 1.240000 , x = [-10.526316   , 4.197697   , -1.378454   , -5.255592   , 7.442599   ]  , c = [-10.526316   , 4.197697   , -1.378454   , -5.255592   , 7.442599   ]
q = 1.250000 , x = [-10.666667   , 4.235417   , -1.388542   , -5.335417   , 7.544792   ]  , c = [-10.666667   , 4.235417   , -1.388542   , -5.335417   , 7.544792   ]
q = 1.260000 , x = [-10.810811   , 4.274155   , -1.398902   , -5.417399   , 7.649747   ]  , c = [-10.810811   , 4.274155   , -1.398902   , -5.417399   , 7.649747   ]
