q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 1.370000 , x = [10.810811   , -1.536655   , 0.155152   , 6.879899   , -8.093497   ]
q = 1.380000 , x = [10.526316   , -1.460197   , 0.134704   , 6.718092   , -7.886349   ]
q = 1.390000 , x = [10.256410   , -1.387660   , 0.115304   , 6.564583   , -7.689824   ]
q = 1.400000 , x = [10.000000   , -1.318750   , 0.096875   , 6.418750   , -7.503125   ]
q = 1.410000 , x = [9.756098   , -1.253201   , 0.079345   , 6.280030   , -7.325534   ]
q = 1.420000 , x = [9.523810   , -1.190774   , 0.062649   , 6.147917   , -7.156399   ]
q = 1.430000 , x = [9.302326   , -1.131250   , 0.046730   , 6.021948   , -6.995131   ]
q = 1.440000 , x = [9.090909   , -1.074432   , 0.031534   , 5.901705   , -6.841193   ]
q = 1.450000 , x = [8.888889   , -1.020139   , 0.017014   , 5.786806   , -6.694097   ]
q = 1.460000 , x = [8.695652   , -0.968207   , 0.003125   , 5.676902   , -6.553397   ]
q = 1.470000 , x = [8.510638   , -0.918484   , -0.010173   , 5.571676   , -6.418684   ]
q = 1.480000 , x = [8.333333   , -0.870833   , -0.022917   , 5.470833   , -6.289583   ]
q = 1.490000 , x = [8.163265   , -0.825128   , -0.035140   , 5.374107   , -6.165753   ]
q = 1.500000 , x = [8.000000   , -0.781250   , -0.046875   , 5.281250   , -6.046875   ]
q = 1.510000 , x = [7.843137   , -0.739093   , -0.058150   , 5.192034   , -5.932659   ]
q = 1.520000 , x = [7.692308   , -0.698558   , -0.068990   , 5.106250   , -5.822837   ]
q = 1.530000 , x = [7.547170   , -0.659552   , -0.079422   , 5.023703   , -5.717158   ]
q = 1.540000 , x = [7.407407   , -0.621991   , -0.089468   , 4.944213   , -5.615394   ]
q = 1.550000 , x = [7.272727   , -0.585795   , -0.099148   , 4.867614   , -5.517330   ]
q = 1.560000 , x = [7.142857   , -0.550893   , -0.108482   , 4.793750   , -5.422768   ]
q = 1.570000 , x = [7.017544   , -0.517215   , -0.117489   , 4.722478   , -5.331524   ]
q = 1.580000 , x = [6.896552   , -0.484698   , -0.126185   , 4.653664   , -5.243427   ]
q = 1.590000 , x = [6.779661   , -0.453284   , -0.134587   , 4.587182   , -5.158316   ]
q = 1.600000 , x = [6.666667   , -0.422917   , -0.142708   , 4.522917   , -5.076042   ]
